,Ratings,Comments_Title,Actual_Comment,Review_Date_place,Verified_or_Not?,Product_Color
43,4.0 out of 5 stars,Second times the charm,"I brought this OnePlus Nord 2 on Great Indian Festival sale and the horror when I got a used defective product! What followed were two days of restlessness as the associates tried their best to register a replacement. And finally I got a new one!

Pris: Coming to the actual product: Sleek design, comfortable on ears for longer periods (m talking 12-13 hrs), bass is more than decent. Has two modes and ANC is to kill for! I think that's the only reason I went back to my this the second time. Battery life is decent. Can give a run for money to any high end earphones in 5k-10k range.
Cons: Dies on its first birthday, not a day more!",Reviewed in India on 8 October 2024,Verified Purchase,Colour: Lightning WhiteSize: Extra LargeStyle Name: Nord Buds 2
44,4.0 out of 5 stars,Very good product,Best bass performance and best quality products,Reviewed in India on 29 October 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
45,4.0 out of 5 stars,Warranty card not present inside the box.,Warranty card not present inside the box.,Reviewed in India on 16 October 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
46,4.0 out of 5 stars,GREAT DEAL🤝,Just Go For It!,Reviewed in India on 12 October 2024,Verified Purchase,Colour: Thunder GreySize: Extra LargeStyle Name: Nord Buds 2
47,4.0 out of 5 stars,Display is very good,Ok ok,Reviewed in India on 13 October 2024,Verified Purchase,Colour: Misty GreySize: Extra LargeStyle Name: Nord Buds 2r
48,4.0 out of 5 stars,Buds 2r,"Best but no volume control 😔
Average at gaming purpose
Mic quality is best
Battery backup 😊",Reviewed in India on 12 October 2024,Verified Purchase,Colour: Misty GreySize: Extra LargeStyle Name: Nord Buds 2r
49,4.0 out of 5 stars,Worth it !,"One of the best ear bud, connectivity, sound, bass everything is good. Battery Backup is good as well.
Worth buying it.",Reviewed in India on 19 November 2024,Verified Purchase,Colour: Triple BlueSize: Extra LargeStyle Name: Nord Buds 2r
50,4.0 out of 5 stars,For OnePlus buds 2r,"Quality of the product is good battery is also good the bass is not like as the oneplus
Realme buds have better bass than OnePlus buds 2r",Reviewed in India on 5 October 2024,Verified Purchase,Colour: Triple BlueSize: Extra LargeStyle Name: Nord Buds 2r
51,4.0 out of 5 stars,Better than most of the other brands.,It's simply awesome in call quality but a little bit could be better in sounds of the songs.,Reviewed in India on 2 December 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
52,4.0 out of 5 stars,Ok,Good,Reviewed in India on 15 October 2024,Verified Purchase,Colour: Thunder GreySize: Extra LargeStyle Name: Nord Buds 2
53,4.0 out of 5 stars,Best budget Earbuds with ANC,Best ANC under this range. The BASS was apt. Previously I was using One plus buds Z2. It is almost 70% similar with sound quality.,Reviewed in India on 9 October 2024,Verified Purchase,Colour: Thunder GreySize: Extra LargeStyle Name: Nord Buds 2
54,4.0 out of 5 stars,Good products👍👍,Good products👍👍,Reviewed in India on 19 October 2024,Verified Purchase,Colour: Thunder GreySize: Extra LargeStyle Name: Nord Buds 2
55,4.0 out of 5 stars,Product is good,Well,Reviewed in India on 16 October 2024,Verified Purchase,Colour: Misty GreySize: Extra LargeStyle Name: Nord Buds 2r
56,4.0 out of 5 stars,Worst delivery Services,"Product is very good but Amazon delivery services is very bad. It has no provided delivery agent number 😕😕😞

Very disappointed.",Reviewed in India on 10 October 2024,Verified Purchase,Colour: Triple BlueSize: Extra LargeStyle Name: Nord Buds 2r
57,4.0 out of 5 stars,Good TWS but not promising,"Sound wise it's ok medium bass balanced tuned sometimes feels trouble more
Mic quality not up to the mark sometimes need to talk loud as regular Indore condition.
Overall decent 1 star less for sound quality and call quality.",Reviewed in India on 2 October 2024,Verified Purchase,Colour: Thunder GreySize: Extra LargeStyle Name: Nord Buds 2
58,4.0 out of 5 stars,😎😎,Excellent product and nice quality 👍,Reviewed in India on 21 November 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
59,4.0 out of 5 stars,Sound is ok but no volume control on earbuds,Quality of sound and mic is good. But there isn't any volume control on ear buds... So we have to use phone for the same. Bluetooth connectivity is awesome. Very easy to use. Pls give vol control and then it's just awesome,Reviewed in India on 8 October 2024,Verified Purchase,Colour: Triple BlueSize: Extra LargeStyle Name: Nord Buds 2r
60,4.0 out of 5 stars,Good,Good,Reviewed in India on 22 October 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
61,4.0 out of 5 stars,Thise is best experience of using thise product,Best sounds quality fast connect to phone..good touch controls so keep thise product.. thank you..,Reviewed in India on 22 November 2024,Verified Purchase,Colour: Thunder GreySize: Extra LargeStyle Name: Nord Buds 2
62,4.0 out of 5 stars,Very good product,"Value for money

Working very good
Performance is good
Voice is clear as expected",Reviewed in India on 13 October 2024,Verified Purchase,Colour: Misty GreySize: Extra LargeStyle Name: Nord Buds 2r
63,4.0 out of 5 stars,Nice product,"It's a nice product, value for money",Reviewed in India on 16 October 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
64,3.0 out of 5 stars,Nice product on it's price range.,"After using these earbuds in 4+ months here's my opinion:

Cons: Nice earbuds but NOT comfortable at all or as described. My ear hurts in under 2 to 2 and half hours of use then I has to switch these earbuds to right bud in my left ear and left one in right ear it's too frustrating and while doing this you loose all the sound quality.

Pros: Sound quality, Vocal, and Bass is good actually bass is the thing on this buds is really good ngl.",Reviewed in India on 31 October 2024,Verified Purchase,Colour: Deep GreySize: Extra LargeStyle Name: Nord Buds 2r
